audio_variant_id,audio_instruction_id,audio_asset_file_en,audio_asset_url_en,audio_asset_file_de,audio_asset_url_de
V01,audio_instruction_set_1,study6_neutral_hand_audio_V01_EN.mp3,https://www.georgefejer.com/Research/study-6/neutral-hand-audio/audio/study6_neutral_hand_audio_V01_EN.mp3,study6_neutral_hand_audio_V01_DE.mp3,https://www.georgefejer.com/Research/study-6/neutral-hand-audio/audio/study6_neutral_hand_audio_V01_DE.mp3
V02,audio_instruction_set_2,study6_neutral_hand_audio_V02_EN.mp3,https://www.georgefejer.com/Research/study-6/neutral-hand-audio/audio/study6_neutral_hand_audio_V02_EN.mp3,study6_neutral_hand_audio_V02_DE.mp3,https://www.georgefejer.com/Research/study-6/neutral-hand-audio/audio/study6_neutral_hand_audio_V02_DE.mp3
V03,audio_instruction_set_3,study6_neutral_hand_audio_V03_EN.mp3,https://www.georgefejer.com/Research/study-6/neutral-hand-audio/audio/study6_neutral_hand_audio_V03_EN.mp3,study6_neutral_hand_audio_V03_DE.mp3,https://www.georgefejer.com/Research/study-6/neutral-hand-audio/audio/study6_neutral_hand_audio_V03_DE.mp3
V04,audio_instruction_set_4,study6_neutral_hand_audio_V04_EN.mp3,https://www.georgefejer.com/Research/study-6/neutral-hand-audio/audio/study6_neutral_hand_audio_V04_EN.mp3,study6_neutral_hand_audio_V04_DE.mp3,https://www.georgefejer.com/Research/study-6/neutral-hand-audio/audio/study6_neutral_hand_audio_V04_DE.mp3
