asset_id,role,language,path,duration_s,sample_rate_hz,channels,size_bytes,sha256,notes
pps_study5_exhale_fixed,cataloged_reference,en,C:\Users\gfeje\Documents\GitHub\pps-kit\assets\breathing\original_study5\Exhale-2-3-4-hold_FIXED.wav,4.000000,44100,1,705644,e4957a25f2e7dc1cd8998953f90eac239c15dcb71ee78e8a159470ecaefb807a,Original PPS Study 5 breathing asset; short rhythmic clip, not primary XTTS reference.
pps_study5_finish_message,cataloged_reference,en,C:\Users\gfeje\Documents\GitHub\pps-kit\assets\breathing\original_study5\FinishMessage.wav,7.000816,44100,1,617516,a5f34ec47d40a1b8e062e8786722dadc9ca5310227725d82bd607610dea7ab88,Original PPS Study 5 breathing asset; cataloged for future reuse.
pps_study5_general_instructions,primary_xtts_speaker_reference,en,C:\Users\gfeje\Documents\GitHub\pps-kit\assets\breathing\original_study5\General_Instructions.wav,85.707755,44100,1,7559468,fd51b2912d7d8f8afa7891569ce479b6f51cde3bbe7cd729b8356c1f7044deed,Primary XTTS-v2 speaker reference for Study 6 neutral hand audio.
pps_study5_inhale_fixed,cataloged_reference,en,C:\Users\gfeje\Documents\GitHub\pps-kit\assets\breathing\original_study5\Inhale-2-3-4-hold_FIXED.wav,4.000000,44100,1,352844,c4470c0f1cea401337493359b1fcea1c14d55105c0fd5ca2b383b59fab86f5b4,Original PPS Study 5 breathing asset; short rhythmic clip, not primary XTTS reference.
pps_study5_interim_message,cataloged_reference,en,C:\Users\gfeje\Documents\GitHub\pps-kit\assets\breathing\original_study5\InterimMessage.wav,10.109388,44100,1,891692,c77afc42a70d2df13aeeb07b54442f67a1ccfae554aadaf94eb8b8e4dbe940d3,Original PPS Study 5 breathing asset; cataloged for future reuse.
pps_study5_post_block_instruction,cataloged_reference,en,C:\Users\gfeje\Documents\GitHub\pps-kit\assets\breathing\original_study5\Post-Block_Instruction.wav,8.829388,44100,1,778796,0927fb12a0208acd4e042976210c44a92c15565d616f25265b4b9a85db010f21,Original PPS Study 5 breathing asset; cataloged for future reuse.
pps_study5_pre_block_instruction,cataloged_reference,en,C:\Users\gfeje\Documents\GitHub\pps-kit\assets\breathing\original_study5\Pre-Block_Instruction.wav,8.418073,44100,1,742518,461643e6b3e4baa38bfc89d47d81c901beca878e1d0049fdc74a8d36cd7bf5c3,Original PPS Study 5 breathing asset; cataloged for future reuse.
